Localidad,Sexo,TOL,FL,FW,TL,BL,BH,BW,BC,BE,FTL,NL,T,W
Shirreff,Macho,64,20,5.7,17.5,4.718,1.918,1.781,13.4,6.5,11.5,2.1,39.8,4
Shirreff,Macho,69.2,19.7,5.2,18.8,4.896,1.905,1.549,13.2,6.3,11.2,2.05,39.9,3.72
Shirreff,Macho,66.5,19.2,5.5,19,4.807,2.134,1.765,12.9,6.8,11.9,2,40.1,3.72
Shirreff,Macho,64.7,19.2,5.4,14.6,4.381,1.819,1.638,12.6,7.2,12,2.15,39.4,3.54
Shirreff,Macho,69.3,20.4,5.6,16.7,4.812,2.027,1.677,12.7,7.1,12.4,2.35,39.4,4.28
Shirreff,Macho,70.1,20.8,5.8,18.1,4.863,2.088,1.831,13.4,6.8,12.8,1.85,40,4.04
Shirreff,Macho,68.9,18.8,5.4,16.8,4.813,2.062,1.594,13.7,6.8,11.4,2.15,40.1,4.04
Shirreff,Macho,63.2,17.6,5.4,17,4.75,2.2,1.6,12.8,6,11,2,40.7,4.48
Shirreff,Macho,69.2,19.2,5.3,18.4,5.05,2.1,1.7,13.3,7.4,11.6,2.35,39.1,4.22
Shirreff,Macho,70.1,19.6,5.7,20.1,4.65,2.3,1.7,12.9,7.3,11.2,2,39.7,4.6
Shirreff,Macho,64.3,18.7,5.6,16.2,5,2.2,1.6,12.8,6.4,11.6,2,40.6,3.77
Shirreff,Macho,70.6,19.8,5.5,18.8,4.75,2.05,1.6,12,6.2,11,1.9,40.4,4.04
Shirreff,Macho,74.5,19.6,5.7,18.2,4.7,2.4,1.7,15.8,7.6,11.1,2.1,40.1,4.84
Shirreff,Macho,71,19.3,5.4,17.2,5.1,2.3,1.7,13.3,6.6,11.3,2.1,40.5,4.8
Shirreff,Macho,66.8,20.6,5.7,15.8,4.7,2,1.5,12.9,6.5,11.3,2.45,40,4
Shirreff,Macho,67,19.4,5.7,18.3,5.2,2.2,1.7,13.1,6.5,11.9,2.1,40,4.08
Shirreff,Macho,64.1,19.4,5.1,16.3,4.9,2.1,1.7,12.8,6.7,11.6,2,40.2,3.62
Shirreff,Macho,66.2,19.4,5.1,15.8,4.65,2,1.65,12.8,6.3,11.6,1.8,39.7,3.52
Shirreff,Macho,67.5,19.7,5.3,15.4,5,2,1.7,13.6,6.8,11.6,1.9,40.3,3.62
Shirreff,Macho,70.3,19.8,5.4,17.8,4.8,2,1.7,12.7,6.8,11.8,2,40.4,3.86
Shirreff,Macho,70.6,21,5.8,16.8,4.8,2.2,1.6,12.4,7.4,11.5,2.2,40.4,4.54
Shirreff,Macho,65.6,18.9,5.4,14.3,4.8,2.2,1.7,12.6,6.7,10.9,1.8,40.5,3.98
Shirreff,Macho,75.3,19.2,5.7,19.8,5.3,2.2,1.8,13.8,6.8,11.2,2.35,40,4.54
Shirreff,Macho,68.8,19.2,5.7,15.5,5.2,2.2,1.7,12.5,7.2,11.9,2.1,41.1,4.14
Shirreff,Macho,65.9,19.9,5.7,15.6,4.6,2.1,1.7,12.8,6.6,11.4,1.8,40.2,3.9
Shirreff,Macho,69,19.6,5.8,15.7,5.1,2.3,1.6,12.9,6.8,12,2.2,39.6,4.14
Shirreff,Macho,64.5,19.3,5.3,11.3,4.383,1.799,1.503,12.4,7.8,11.3,2.2,40.6,5.4
Shirreff,Macho,72.3,18.8,5.3,17.7,4.823,2,1.567,13.2,6.8,11.2,2.1,40.8,4.26
Shirreff,Macho,70.7,19.2,5.3,13.3,5.093,2.063,1.669,12.7,7.1,11.9,2.3,41.7,4.14
